OTUId	C7.3	E4.6	G8.5	C7.4	E4.1	E4.8	E4.3	E4.2	E4.4	C7.5	G8.1	G8.4	C7.2	E4.9	C7.1	E4.7	G8.3	E4.10	E4.5	G8.2
OTU_23;size=14173;	389	811	839	1206	527	27	1099	954	1246	416	824	1458	125	1044	1848	1361	643	659	460	806
OTU_1;size=147834;	8029	5629	11954	19542	12607	192	7238	6150	6131	7955	7403	11059	1608	8002	7155	13665	11529	11800	4748	5631
OTU_19;size=16326;	13696	8	29	43	18	27	20	20	13	125	46	42	197	15	4572	34	45	21	19	11
OTU_2;size=96537;	2407	3036	9176	4324	5439	132	5405	11176	6313	2241	6457	9629	897	5516	5585	5405	8229	5243	4303	6005
OTU_285;size=282;	1	2	3	314	2	0	2	1	65	0	0	4	1	1	2	0	4	1	31	2
OTU_18;size=13355;	88	383	1412	541	887	16	191	568	366	41	378	944	343	1788	3305	1283	1229	409	580	717
OTU_3;size=52927;	33	16	61	56	39	57722	25	39	33	43	47	66	30	34	50	53	40	30	20	37
OTU_104;size=2514;	14	1	1403	17	14	6	258	7	5	35	492	15	157	59	234	7	155	83	132	258
OTU_755;size=33;	0	0	0	0	0	0	58	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_5;size=62172;	2559	1842	5009	3379	4509	2441	2301	3898	4001	4289	5253	4508	1498	2944	4954	5225	4494	4751	3267	2440
OTU_198;size=2169;	135	318	56	17	85	14	147	93	86	295	17	438	282	103	198	155	48	119	302	256
OTU_11;size=40372;	25	81	1086	43	32	39	28	44	23	30	9658	31697	30	17	827	38	176	2243	378	181
OTU_12;size=22685;	3084	1549	1602	2765	105	33	1099	1170	156	646	612	1200	581	70	2120	3367	3263	1377	731	955
OTU_4;size=47911;	5199	1152	4318	1108	2800	42	3125	1813	866	2566	6587	4010	1599	490	7804	3097	2227	1209	3019	892
OTU_25;size=7957;	5	3	14	10	6	9054	6	10	6	7	10	13	9	4	12	12	8	5	4	3
OTU_1254;size=8;	0	0	0	0	0	1	0	0	1	0	0	0	1	6	1	0	0	0	0	0
OTU_86;size=1822;	3	75	339	65	4	6	1	1	11	68	327	4	2	6	13	102	711	253	3	2
OTU_7;size=32134;	4215	738	2899	3238	1822	88	1255	1322	1444	3075	1619	1592	1056	1865	1850	3110	1899	1791	1186	1007
OTU_37;size=8971;	10	6	21	17	11	10	5	8	5	11	1695	7020	2	8	15	13	1798	10	5	4
OTU_10;size=49690;	1290	2082	2263	3855	683	50	1663	498	1508	5051	7216	4152	990	2920	4939	6510	5994	1663	1620	2463
OTU_33;size=5214;	296	5	8	699	16	5	4	10	1139	614	23	155	2	40	573	19	2036	6	494	65
OTU_112;size=1103;	2	173	75	216	77	2	24	72	1	5	123	64	5	101	178	6	7	1	140	160
OTU_6;size=32838;	859	25	1340	1462	34	37	61	336	38	14860	103	486	6210	34	11339	73	95	199	36	297
OTU_655;size=69;	0	107	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	5	0
OTU_176;size=462;	0	13	50	4	101	1	0	2	3	3	3	145	0	28	2	275	23	1	1	16
OTU_48;size=3341;	80	143	305	246	301	6	140	37	138	159	468	70	158	193	413	159	283	394	226	144
OTU_53;size=3940;	178	55	656	483	56	4	176	348	91	207	316	207	3	320	632	422	98	277	94	233
OTU_27;size=23464;	32	277	2391	1832	47	27	924	777	800	1820	1441	961	227	288	176	576	628	854	1278	847
OTU_40;size=4654;	200	297	234	165	436	7	408	360	91	81	200	318	159	184	400	464	760	302	241	257
OTU_175;size=748;	2	43	5	113	6	2	9	3	31	73	96	64	154	15	106	8	315	5	39	1
OTU_87;size=2045;	118	45	633	431	15	2	8	80	157	50	151	44	20	83	242	12	106	391	66	27
OTU_54;size=4047;	94	17	7	101	445	5	104	199	521	489	139	404	8	360	687	814	366	24	16	311
OTU_163;size=1416;	0	2	7	152	0	1	2	4	2	3	4	1475	0	0	289	2	2	1	0	0
OTU_1431;size=255;	497	576	585	362	402	28	852	1060	1163	334	1527	724	190	495	290	1089	575	890	218	445
OTU_9;size=53127;	3547	1440	4217	2608	1803	77	3413	3022	2307	2297	3508	2834	700	3702	3907	6699	6071	4154	2045	4573
OTU_92;size=1380;	1	1	1	301	18	2	1	6	3	2	0	5	2	25	1351	1	1	0	1	0
OTU_28;size=7612;	269	353	150	1173	2733	8	117	275	29	33	797	1443	4	1189	88	208	25	111	5	11
OTU_935;size=2497;	21	16	1149	150	35	2	112	1397	19	71	61	47	9	15	1049	41	32	50	46	27
OTU_57;size=2871;	48	3	6	46	6	7	15	175	3	137	690	372	10	3	118	8	1902	4	6	3
OTU_212;size=1404;	63	20	517	219	6	7	142	10	489	72	76	410	114	37	577	320	21	32	90	13
OTU_101;size=2566;	72	10	186	142	337	1	43	218	190	269	223	98	104	66	152	118	347	185	83	90
OTU_271;size=2231;	420	299	32	130	207	5	325	556	152	88	60	16	405	543	55	41	31	361	225	176
OTU_127;size=1430;	4	2	214	2	1	2	0	6	1	7	6	2	3	5	10	3	1675	3	1	2
OTU_21;size=16126;	1333	415	2884	757	641	24	279	1060	258	1439	886	1011	703	734	887	884	2976	506	450	765
OTU_41;size=9086;	158	76	1094	160	62	8	183	95	1047	740	522	720	10	242	514	43	1673	472	225	987
OTU_76;size=2388;	10	111	78	19	8	3	59	2	582	821	22	382	8	387	114	370	8	0	129	7
OTU_44;size=3630;	196	34	480	28	219	10	95	140	9	809	17	88	10	67	358	484	103	26	397	847
OTU_93;size=1478;	22	123	13	71	76	3	175	227	312	30	16	74	16	23	133	400	112	89	7	4
OTU_51;size=3571;	16	8	9	16	8	8	2	9	16	18	4	8	6	166	8	200	3752	3	111	3
OTU_1485;size=34;	1	0	38	0	1	0	1	8	0	4	1	5	6	0	2	0	0	1	0	1
OTU_24;size=9463;	306	615	1201	762	1053	7	290	881	503	579	840	574	87	346	788	751	332	702	135	367
OTU_60;size=2490;	10	5	3	84	2	114	2	4	4	1079	12	7	3	6	483	5	122	993	4	4
OTU_8;size=21664;	123	172	49	84	2378	36	289	38	25	48	59	848	15670	20	4246	47	40	33	809	24
OTU_13;size=22548;	1712	1049	2173	3443	1023	34	960	627	492	2297	1657	1420	86	1056	1545	1322	735	1809	1228	1444
OTU_38;size=10953;	248	212	2017	724	179	17	198	918	160	2979	1405	215	170	273	887	2044	466	385	171	359
OTU_140;size=815;	38	14	3	2	303	2	20	1	137	1	3	6	0	0	313	27	0	82	116	0
OTU_208;size=551;	3	0	10	2	576	0	70	3	1	194	2	8	1	0	2	2	2	0	1	1
OTU_16;size=38904;	1632	1016	2085	1702	1962	59	1350	3328	1208	1755	2811	1767	549	1622	1386	2686	3364	2098	1226	1331
OTU_216;size=383;	312	0	2	5	5	0	1	1	0	1	0	258	1	2	2	0	2	1	2	0
OTU_374;size=145;	0	0	0	0	0	0	2	1	1	75	0	0	0	0	103	0	0	0	30	0
OTU_35;size=5354;	256	9	299	279	17	3	256	407	116	286	102	414	106	176	392	420	2290	217	469	42
OTU_138;size=1989;	101	96	278	140	175	5	42	126	114	126	68	84	56	235	373	181	339	75	70	89
OTU_17;size=13133;	124	193	1639	786	991	24	282	1474	1690	642	461	1185	154	881	746	1088	702	857	913	333
OTU_61;size=3147;	6	7	8	5	4	3	2	6	21	275	12	2884	1	3	4	646	9	2	7	7
OTU_36;size=4441;	14	4	6	18	1777	27	3	3	2	5	8	20	9	3110	37	12	8	11	4	6
OTU_15;size=14268;	12	7	21	21	4511	1657	10	8	1167	18	13	16	7	13	17	8518	13	5	7	5
OTU_724;size=47;	1	0	0	0	0	0	0	0	0	0	0	64	0	0	1	0	0	0	0	0
OTU_210;size=616;	0	0	0	1	1	0	0	5	2	1	0	2	1	2	2	880	2	1	1	3
OTU_46;size=4908;	67	17	1304	1152	847	7	176	617	76	76	475	140	24	204	138	58	284	231	51	246
OTU_209;size=1222;	133	3	173	3	1	1	43	9	46	16	37	11	0	4	336	823	3	2	58	88
OTU_1547;size=4;	0	20	0	0	0	0	0	0	1	2	0	1	0	0	1	0	110	0	0	0
OTU_150;size=670;	117	2	6	5	2	3	470	2	1	8	1	3	3	2	277	2	5	3	1	3
OTU_947;size=18;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0
OTU_34;size=6100;	337	74	72	482	46	11	509	1205	680	1301	108	148	17	372	953	432	212	232	161	283
OTU_62;size=2569;	68	58	439	92	321	5	99	6	45	51	77	36	100	155	197	243	518	212	266	224
OTU_67;size=2984;	17	225	138	69	536	6	39	158	97	10	28	168	5	135	500	293	843	423	114	39
OTU_463;size=85;	0	84	2	1	0	0	0	0	1	2	0	1	0	41	0	1	0	0	0	1
OTU_52;size=4073;	34	153	675	35	8	5	99	139	349	947	706	200	13	78	296	145	184	272	13	587
OTU_26;size=10753;	1002	301	327	270	353	18	495	643	676	378	588	789	107	262	816	309	1825	930	500	772
OTU_165;size=561;	2	1	2	1	0	3	0	0	0	3	3	0	0	0	183	483	2	142	2	1
OTU_1325;size=815;	250	419	150	76	127	12	559	456	367	1089	943	752	31	271	853	793	515	1086	1298	729
